MCI	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	detalhe
202836583	25726	30015178	30016003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	25726 - 30015178 - 30016003 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
202996617	905137	58570392	103673243	112566779	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	905137 - 58570392 - 103673243 - 112566779 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
203219348	496903701	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	496903701 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
203301477	86907671	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	86907671 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
203380818	103953020	142527970	970050671	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	103953020 - 142527970 - 970050671 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
203446500	959217562	959990393	961754977	961855529	962208906	967359726	968256800	971038909	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	959217562 - 959990393 - 961754977 - 961855529 - 962208906 - 967359726 - 968256800 - 971038909 - nan - nan - nan - nan - nan - nan
203814152	90335	536916	4001477	68314356	103044628	983988129	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	90335 - 536916 - 4001477 - 68314356 - 103044628 - 983988129 - nan - nan - nan - nan - nan - nan - nan - nan
204156103	2002	974254266	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2002 - 974254266 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
204376617	580900399	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	580900399 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
204709208	107040424	111154669	114225926	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	107040424 - 111154669 - 114225926 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
204715681	967327288	976346510	983794653	990219909	997600884	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	967327288 - 976346510 - 983794653 - 990219909 - 997600884 - nan - nan - nan - nan - nan - nan - nan - nan - nan
204963568	107448634	108790965	109443786	112505564	115317889	116095027	116390854	119257403	121392649	128105887	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	107448634 - 108790965 - 109443786 - 112505564 - 115317889 - 116095027 - 116390854 - 119257403 - 121392649 - 128105887 - nan - nan - nan - nan
205069684	101554139	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	101554139 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
